SPIEL:
SPIELER:AA,weiss,1,0
SPIELER:KI_1,schwarz,2,0
AM ZUG:AA
HISTORIE:
BRETT:
SPIELFELD:,E1,FIGUR:null
SPIELFELD:,I5,FIGUR:weiss
SPIELFELD:,E2,FIGUR:null
SPIELFELD:,I6,FIGUR:weiss
SPIELFELD:,E3,FIGUR:null
SPIELFELD:,I7,FIGUR:weiss
SPIELFELD:,E4,FIGUR:null
SPIELFELD:,I8,FIGUR:weiss
SPIELFELD:,A1,FIGUR:schwarz
SPIELFELD:,E5,FIGUR:null
SPIELFELD:,I9,FIGUR:weiss
SPIELFELD:,A2,FIGUR:schwarz
SPIELFELD:,E6,FIGUR:null
SPIELFELD:,A3,FIGUR:schwarz
SPIELFELD:,E7,FIGUR:null
SPIELFELD:,A4,FIGUR:schwarz
SPIELFELD:,E8,FIGUR:null
SPIELFELD:,A5,FIGUR:schwarz
SPIELFELD:,E9,FIGUR:null
SPIELFELD:,F2,FIGUR:null
SPIELFELD:,F3,FIGUR:null
SPIELFELD:,F4,FIGUR:null
SPIELFELD:,B1,FIGUR:schwarz
SPIELFELD:,F5,FIGUR:null
SPIELFELD:,B2,FIGUR:schwarz
SPIELFELD:,F6,FIGUR:null
SPIELFELD:,B3,FIGUR:schwarz
SPIELFELD:,F7,FIGUR:null
SPIELFELD:,B4,FIGUR:schwarz
SPIELFELD:,F8,FIGUR:null
SPIELFELD:,B5,FIGUR:schwarz
SPIELFELD:,F9,FIGUR:null
SPIELFELD:,B6,FIGUR:schwarz
SPIELFELD:,G3,FIGUR:null
SPIELFELD:,G4,FIGUR:null
SPIELFELD:,C1,FIGUR:null
SPIELFELD:,G5,FIGUR:weiss
SPIELFELD:,C2,FIGUR:null
SPIELFELD:,G6,FIGUR:weiss
SPIELFELD:,C3,FIGUR:schwarz
SPIELFELD:,G7,FIGUR:weiss
SPIELFELD:,C4,FIGUR:schwarz
SPIELFELD:,G8,FIGUR:null
SPIELFELD:,C5,FIGUR:schwarz
SPIELFELD:,G9,FIGUR:null
SPIELFELD:,C6,FIGUR:null
SPIELFELD:,C7,FIGUR:null
SPIELFELD:,H4,FIGUR:weiss
SPIELFELD:,D1,FIGUR:null
SPIELFELD:,H5,FIGUR:weiss
SPIELFELD:,D2,FIGUR:null
SPIELFELD:,H6,FIGUR:weiss
SPIELFELD:,D3,FIGUR:null
SPIELFELD:,H7,FIGUR:weiss
SPIELFELD:,D4,FIGUR:null
SPIELFELD:,H8,FIGUR:weiss
SPIELFELD:,D5,FIGUR:null
SPIELFELD:,H9,FIGUR:weiss
SPIELFELD:,D6,FIGUR:null
SPIELFELD:,D7,FIGUR:null
SPIELFELD:,D8,FIGUR:null
